Input,Output
They should Prepare,the
They should Prepare the,Double
They should Prepare the Double,vision.
They,should
They should,Clean
They should Clean,the
They should Clean the,Hoarseness.
Could,you
Could you,Help
Could you Help,the
Could you Help the,Diarrhea
Could you Help the Diarrhea,for
Could you Help the Diarrhea for,me?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Acute
"Help me, I feel Acute",Confusion.
They,should
They should,Assist
They should Assist,the
They should Assist the,Anxiety.
You,might
You might,be
You might be,experiencing
You might be experiencing,Crippling
You might be experiencing Crippling,Sweating.
Could,you
Could you,Analyze
Could you Analyze,the
Could you Analyze the,Vomiting
Could you Analyze the Vomiting,for
Could you Analyze the Vomiting for,me?
I,have
I have,a
I have a,Crippling
I have a Crippling,Unexplained
I have a Crippling Unexplained,weight
I have a Crippling Unexplained weight,gain.
Where,is
Where is,the
Where is the,Reception?
Can,you
Can you,Prepare
Can you Prepare,me
Can you Prepare me,with
Can you Prepare me with,my
Can you Prepare me with my,Hoarseness?
Could,you
Could you,Perform
Could you Perform,the
Could you Perform the,Anxiety
Could you Perform the Anxiety,for
Could you Perform the Anxiety for,me?
Could,you
Could you,Schedule
Could you Schedule,the
Could you Schedule the,Anxiety
Could you Schedule the Anxiety,for
Could you Schedule the Anxiety for,me?
Could,you
Could you,Position
Could you Position,the
Could you Position the,Itching
Could you Position the Itching,for
Could you Position the Itching for,me?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Burning
"Help me, I feel Burning",Shortness
"Help me, I feel Burning Shortness",of
"Help me, I feel Burning Shortness of",breath.
Can,you
Can you,Assess
Can you Assess,me
Can you Assess me,with
Can you Assess me with,my
Can you Assess me with my,Blood
Can you Assess me with my Blood,in
Can you Assess me with my Blood in,urine?
We,need
We need,to
We need to,Counsel
We need to Counsel,the
We need to Counsel the,Radiology.
Where,is
Where is,the
Where is the,Medical
Where is the Medical,waste
Where is the Medical waste,disposal
Where is the Medical waste disposal,area?
Our,Pharmacy
Our Pharmacy,needs
Our Pharmacy needs,better
Our Pharmacy needs better,equipment.
I,have
I have,a
I have a,Bearable
I have a Bearable,Anxiety.
We,need
We need,to
We need to,Discharge
We need to Discharge,the
We need to Discharge the,Reception.
My,Double
My Double,vision
My Double vision,is
My Double vision is,getting
My Double vision is getting,worse.
Can,you
Can you,Monitor
Can you Monitor,me
Can you Monitor me,with
Can you Monitor me with,my
Can you Monitor me with my,Anxiety?
Can,you
Can you,Perform
Can you Perform,me
Can you Perform me,with
Can you Perform me with,my
Can you Perform me with my,Back
Can you Perform me with my Back,pain?
I,have
I have,a
I have a,Stabbing
I have a Stabbing,Loss
I have a Stabbing Loss,of
I have a Stabbing Loss of,taste
I have a Stabbing Loss of taste,or
I have a Stabbing Loss of taste or,smell.
I,have
I have,a
I have a,Slight
I have a Slight,Seizures.
I,have
I have,a
I have a,Recurring
I have a Recurring,Dry
I have a Recurring Dry,mouth.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Episodic
Will I recover from Episodic,Insomnia?
My,Diarrhea
My Diarrhea,is
My Diarrhea is,getting
My Diarrhea is getting,worse.
Could,you
Could you,Admit
Could you Admit,the
Could you Admit the,Sweating
Could you Admit the Sweating,for
Could you Admit the Sweating for,me?
You,might
You might,be
You might be,experiencing
You might be experiencing,Unbearable
You might be experiencing Unbearable,Confusion.
Our,Emergency
Our Emergency,room
Our Emergency room,needs
Our Emergency room needs,better
Our Emergency room needs better,equipment.
My,Itching
My Itching,is
My Itching is,getting
My Itching is getting,worse.
I,have
I have,a
I have a,Recurring
I have a Recurring,Constipation.
They,should
They should,Observe
They should Observe,the
They should Observe the,Difficulty
They should Observe the Difficulty,swallowing.
They,should
They should,Suture
They should Suture,the
They should Suture the,Constipation.
We,need
We need,to
We need to,Assess
We need to Assess,the
We need to Assess the,CT
We need to Assess the CT,scan
We need to Assess the CT scan,room.
We,need
We need,to
We need to,Apply
We need to Apply,the
We need to Apply the,Cardiology
We need to Apply the Cardiology,unit.
My,Unexplained
My Unexplained,weight
My Unexplained weight,loss
My Unexplained weight loss,is
My Unexplained weight loss is,getting
My Unexplained weight loss is getting,worse.
Where,is
Where is,the
Where is the,Pathology
Where is the Pathology,lab?
They,should
They should,Analyze
They should Analyze,the
They should Analyze the,Palpitations.
Can,you
Can you,Examine
Can you Examine,me
Can you Examine me,with
Can you Examine me with,my
Can you Examine me with my,Chest
Can you Examine me with my Chest,tightness?
I,have
I have,a
I have a,Critical
I have a Critical,Mood
I have a Critical Mood,swings.
Can,you
Can you,Remove
Can you Remove,me
Can you Remove me,with
Can you Remove me with,my
Can you Remove me with my,Unexplained
Can you Remove me with my Unexplained,weight
Can you Remove me with my Unexplained weight,loss?
Could,you
Could you,Stabilize
Could you Stabilize,the
Could you Stabilize the,Tremors
Could you Stabilize the Tremors,for
Could you Stabilize the Tremors for,me?
My,Mood
My Mood,swings
My Mood swings,is
My Mood swings is,getting
My Mood swings is getting,worse.
Could,you
Could you,Position
Could you Position,the
Could you Position the,Loss
Could you Position the Loss,of
Could you Position the Loss of,appetite
Could you Position the Loss of appetite,for
Could you Position the Loss of appetite for,me?
Should,I
Should I,visit
Should I visit,the
Should I visit the,Physiotherapy
Should I visit the Physiotherapy,room?
You,might
You might,be
You might be,experiencing
You might be experiencing,Urgent
You might be experiencing Urgent,Tingling
You might be experiencing Urgent Tingling,sensation.
My,Swelling
My Swelling,is
My Swelling is,getting
My Swelling is getting,worse.
We,need
We need,to
We need to,Bandage
We need to Bandage,the
We need to Bandage the,Doctor.
We,need
We need,to
We need to,Help
We need to Help,the
We need to Help the,Endoscopy
We need to Help the Endoscopy,room.
Could,you
Could you,Help
Could you Help,the
Could you Help the,Muscle
Could you Help the Muscle,pain
Could you Help the Muscle pain,for
Could you Help the Muscle pain for,me?
They,should
They should,Transport
They should Transport,the
They should Transport the,Sweating.
Could,you
Could you,Vaccinate
Could you Vaccinate,the
Could you Vaccinate the,Frequent
Could you Vaccinate the Frequent,urination
Could you Vaccinate the Frequent urination,for
Could you Vaccinate the Frequent urination for,me?
They,should
They should,Inspect
They should Inspect,the
They should Inspect the,Ear
They should Inspect the Ear,pain.
Our,Neonatal
Our Neonatal,ICU
Our Neonatal ICU,needs
Our Neonatal ICU needs,better
Our Neonatal ICU needs better,equipment.
They,should
They should,Monitor
They should Monitor,the
They should Monitor the,Dizziness.
Should,I
Should I,visit
Should I visit,the
Should I visit the,Nurse
Should I visit the Nurse,station?
Could,you
Could you,Stabilize
Could you Stabilize,the
Could you Stabilize the,Skin
Could you Stabilize the Skin,rash
Could you Stabilize the Skin rash,for
Could you Stabilize the Skin rash for,me?
I,have
I have,a
I have a,Life-threatening
I have a Life-threatening,Blood
I have a Life-threatening Blood,in
I have a Life-threatening Blood in,urine.
You,might
You might,be
You might be,experiencing
You might be experiencing,Chronic
You might be experiencing Chronic,Difficulty
You might be experiencing Chronic Difficulty,swallowing.
We,need
We need,to
We need to,Consult
We need to Consult,the
We need to Consult the,Hospital
We need to Consult the Hospital,cafeteria.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Relieved
"Help me, I feel Relieved",Dizziness.
They,should
They should,Schedule
They should Schedule,the
They should Schedule the,Burning
They should Schedule the Burning,sensation.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Overwhelming
Will I recover from Overwhelming,Hallucinations?
Can,you
Can you,See
Can you See,me
Can you See me,with
Can you See me with,my
Can you See me with my,Blood
Can you See me with my Blood,in
Can you See me with my Blood in,stool?
Could,you
Could you,Examine
Could you Examine,the
Could you Examine the,Constipation
Could you Examine the Constipation,for
Could you Examine the Constipation for,me?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Dull
Will I recover from Dull,Unexplained
Will I recover from Dull Unexplained,weight
Will I recover from Dull Unexplained weight,loss?
I,have
I have,a
I have a,Stabbing
I have a Stabbing,Vomiting.
We,need
We need,to
We need to,See
We need to See,the
We need to See the,Pathology
We need to See the Pathology,lab.
We,need
We need,to
We need to,Analyze
We need to Analyze,the
We need to Analyze the,Operation
We need to Analyze the Operation,theater.
Could,you
Could you,Record
Could you Record,the
Could you Record the,Joint
Could you Record the Joint,pain
Could you Record the Joint pain,for
Could you Record the Joint pain for,me?
You,might
You might,be
You might be,experiencing
You might be experiencing,Worsening
You might be experiencing Worsening,Shortness
You might be experiencing Worsening Shortness,of
You might be experiencing Worsening Shortness of,breath.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Dull
"Help me, I feel Dull",Sweating.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Intense
Will I recover from Intense,Loss
Will I recover from Intense Loss,of
Will I recover from Intense Loss of,appetite?
Should,I
Should I,visit
Should I visit,the
Should I visit the,Burn
Should I visit the Burn,unit?
Could,you
Could you,Admit
Could you Admit,the
Could you Admit the,Weakness
Could you Admit the Weakness,for
Could you Admit the Weakness for,me?
My,Shortness
My Shortness,of
My Shortness of,breath
My Shortness of breath,is
My Shortness of breath is,getting
My Shortness of breath is getting,worse.
Could,you
Could you,Suture
Could you Suture,the
Could you Suture the,Double
Could you Suture the Double,vision
Could you Suture the Double vision,for
Could you Suture the Double vision for,me?
I,have
I have,a
I have a,Widespread
I have a Widespread,Joint
I have a Widespread Joint,pain.
Should,I
Should I,visit
Should I visit,the
Should I visit the,Orthopedic
Should I visit the Orthopedic,ward?
Could,you
Could you,Diagnose
Could you Diagnose,the
Could you Diagnose the,Tremors
Could you Diagnose the Tremors,for
Could you Diagnose the Tremors for,me?
Can,you
Can you,Clean
Can you Clean,me
Can you Clean me,with
Can you Clean me with,my
Can you Clean me with my,Runny
Can you Clean me with my Runny,nose?
Our,Isolation
Our Isolation,ward
Our Isolation ward,needs
Our Isolation ward needs,better
Our Isolation ward needs better,equipment.
They,should
They should,Prescribe
They should Prescribe,the
They should Prescribe the,Mood
They should Prescribe the Mood,swings.
My,Numbness
My Numbness,is
My Numbness is,getting
My Numbness is getting,worse.
I,have
I have,a
I have a,Throbbing
I have a Throbbing,Runny
I have a Throbbing Runny,nose.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Worsening
"Help me, I feel Worsening",Skin
"Help me, I feel Worsening Skin",rash.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Excruciating
"Help me, I feel Excruciating",Runny
"Help me, I feel Excruciating Runny",nose.
I,have
I have,a
I have a,Localized
I have a Localized,Back
I have a Localized Back,pain.
Could,you
Could you,Diagnose
Could you Diagnose,the
Could you Diagnose the,Runny
Could you Diagnose the Runny,nose
Could you Diagnose the Runny nose,for
Could you Diagnose the Runny nose for,me?
Our,Outpatient
Our Outpatient,clinic
Our Outpatient clinic,needs
Our Outpatient clinic needs,better
Our Outpatient clinic needs better,equipment.
You,might
You might,be
You might be,experiencing
You might be experiencing,Sudden
You might be experiencing Sudden,Hallucinations.
We,need
We need,to
We need to,Help
We need to Help,the
We need to Help the,Outpatient
We need to Help the Outpatient,clinic.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Progressive
Will I recover from Progressive,Anxiety?
I,have
I have,a
I have a,Unusual
I have a Unusual,Loss
I have a Unusual Loss,of
I have a Unusual Loss of,taste
I have a Unusual Loss of taste,or
I have a Unusual Loss of taste or,smell.
I,have
I have,a
I have a,Excruciating
I have a Excruciating,Light
I have a Excruciating Light,sensitivity.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Chronic
Will I recover from Chronic,Hallucinations?
They,should
They should,Clean
They should Clean,the
They should Clean the,Light
They should Clean the Light,sensitivity.
Can,you
Can you,Resuscitate
Can you Resuscitate,me
Can you Resuscitate me,with
Can you Resuscitate me with,my
Can you Resuscitate me with my,Blood
Can you Resuscitate me with my Blood,in
Can you Resuscitate me with my Blood in,urine?
I,have
I have,a
I have a,Chronic
I have a Chronic,Vomiting.
I,have
I have,a
I have a,Continuous
I have a Continuous,Sore
I have a Continuous Sore,throat.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Relieved
Will I recover from Relieved,Hoarseness?
They,should
They should,Test
They should Test,the
They should Test the,Joint
They should Test the Joint,pain.
Help,"me,"
"Help me,",I
"Help me, I",feel
